componente,DESCRICAO_PRODUTO,UNIDADE_MEDIDA,CLASSIFICACAO_AIZI,TIPO,DESCRICAO_TIPO,ITEM_FANTASMA,quantidade_por_conjunto,quantidade_conjuntos,quantidade_necessaria,cadastro_encontrado,quantidade_total,FABRICAR,COMPRAR,MATERIA_PRIMA,ITEM_COMERCIAL
G3001012,"PO SX M10 X 1,50 CL8 DIN934 ZB",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,56.0,10.0,560.0,True,56.0,False,True,False,True
G3001067,"PO SX M10 X 1,50 CL8 INS NY AUTO TRAV DIN985 ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,,5961.0,10.0,59610.0,True,5961.0,False,True,False,True
G3001079,PO SEXTAVADA M12 CL 8 PARLOCK,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,,233.0,10.0,2330.0,True,233.0,False,True,False,True
G3001107,"PF SX M10 X 1,50 X 30 CL 8.8 DIN 933 RI ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,40.0,10.0,400.0,True,40.0,False,True,False,True
G3001126,ARRUELA LISA M12 ZB,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,,244.0,10.0,2440.0,True,244.0,False,True,False,True
G3001128,ARRUELA  LISA M14 ZB,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,16.0,10.0,160.0,True,16.0,False,True,False,True
G3001749,"PF SX M12 X 1,75 X 50 CL8.8 DIN933 RI ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,,12.0,10.0,120.0,True,12.0,False,True,False,True
G3001751,"PF SX M12 X 1,75 X 60 CL8.8 DIN933 RI ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,,8.0,10.0,80.0,True,8.0,False,True,False,True
G3002236,"PF SX FL SERRILHADO M8 X 1,25 X 25 CL8.8 DIN6921 ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,,11428.0,10.0,114280.0,True,11428.0,False,True,False,True
G3002307,"PF SX FL M12 X 1,75 X 30 CL8.8 DIN 6921 ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,,36.0,10.0,360.0,True,36.0,False,True,False,True
